"Order","Level","Code","Parent","Code","Parent","Description","Remark"
"2236322","1","830",,"C23",,"Coating metallic material; coating material with metallic material; chemical surface treatment; diffusion treatment of metallic material; coating by vacuum evaporation, by sputtering, by ion implantation or by chemical vapour deposition, in general; inhibiting corrosion of metallic material or incrustation in general",
"2236323","1","840",,"C25",,"Electrolytic or electrophoretic processes; apparatus therefor",
"2236324","1","850",,"C30",,"Crystal growth",
"2236325","1","860",,"C40",,"Combinatorial technology",
"2236326","1","870",,"C99",,"Section C Other - Chemistry; metallurgy",
"2236327","1","880",,"D",,"Section D - Textiles; paper",
"2236328","1","890",,"D01",,"Natural or artificial threads or fibres; spinning",
"2236329","1","900",,"D02",,"Yarns; mechanical finishing of yarns or ropes; warping or beaming",
"2236330","1","910",,"D03",,"Weaving",
"2236331","1","920",,"D04",,"Braiding; lace-making; knitting; trimmings; non-woven fabrics",
"2236332","1","930",,"D05",,"Sewing; embroidering; tufting",
"2236333","1","940",,"D06",,"Treatment of textiles or the like; laundering; flexible materials not otherwise provided for",
"2236334","1","950",,"D07",,"Ropes; cables other than electric",
"2236335","1","960",,"D21",,"Paper-making; production of cellulose",
"2236336","1","970",,"E",,"Section E - Fixed constructions",
"2236337","1","980",,"E01",,"Construction of roads, railways, or bridges",
"2236338","1","990",,"E02",,"Hydraulic engineering; foundations; soil-shifting",
"2236339","1","1000",,"E03",,"Water supply; sewerage",
"2236340","1","1010",,"E04",,"Building",
"2236341","1","1020",,"E05",,"Locks; keys; window or door fittings; safes",
"2236342","1","1030",,"E06",,"Doors, windows, shutters, or roller blinds, in general; ladders",
"2236343","1","1040",,"E21",,"Earth or rock drilling; mining",
"2236344","1","1050",,"F",,"Section F - Mechanical engineering; lighting; heating; weapons; blasting",
"2236345","1","1060",,"F01",,"Machines or engines in general; engine plants in general; steam engines",
"2236346","1","1070",,"F02",,"Combustion engines; hot-gas or combustion-product engine plants",
"2236347","1","1080",,"F03",,"Machines or engines for liquids; wind, spring, or weight motors; producing mechanical power or a reactive propulsive thrust, not otherwise provided for",
"2236348","1","1090",,"F04",,"Positive-displacement machines for liquids; pumps for liquids or elastic fluids",
"2236349","1","1100",,"F15",,"Fluid-pressure actuators; hydraulics or pneumatics in general",
"2236350","1","1110",,"F16",,"Engineering elements or units; general measures for producing and maintaining effective functioning of machines or installations; thermal insulation in general",
"2236351","1","1120",,"F17",,"Storing or distributing gases or liquids",
"2236352","1","1130",,"F21",,"Lighting",
"2236353","1","1140",,"F22",,"Steam generation",
"2236354","1","1150",,"F23",,"Combustion apparatus; combustion processes",
"2236355","1","1160",,"F24",,"Heating; ranges; ventilating",
"2236356","1","1170",,"F25",,"Refrigeration or cooling; combined heating and refrigeration systems; heat pump systems; manufacture or storage of ice; liquefaction or solidification of gases",
"2236357","1","1180",,"F26",,"Drying",
"2236358","1","1190",,"F27",,"Furnaces; kilns; ovens; retorts",
"2236359","1","1200",,"F28",,"Heat exchange in general",
"2236360","1","1210",,"F41",,"Weapons",
"2236361","1","1220",,"F42",,"Ammunition; blasting",
"2236362","1","1230",,"G",,"Section G - Physics",
"2236363","1","1240",,"G01",,"Measuring; testing",
"2236364","1","1250",,"G02",,"Optics",
"2236365","1","1260",,"G03",,"Photography; cinematography; analogous techniques using waves other than optical waves; electrography; holography",
"2236366","1","1270",,"G04",,"Horology",
"2236367","1","1280",,"G05",,"Controlling; regulating",
"2236368","1","1290",,"G06",,"Computing; calculating; counting",
"2236369","1","1300",,"G07",,"Checking-devices",
"2236370","1","1310",,"G08",,"Signalling",
"2236371","1","1320",,"G09",,"Educating; cryptography; display; advertising; seals",
"2236372","1","1330",,"G10",,"Musical instruments; acoustics",
"2236373","1","1340",,"G11",,"Information storage",
"2236374","1","1350",,"G12",,"Instrument details",
"2236375","1","1360",,"G21",,"Nuclear physics; nuclear engineering",
"2236376","1","1370",,"G99",,"Section G Other - Physics",
"2236377","1","1380",,"H",,"Section H - Electricity",
"2236378","1","1390",,"H01",,"Basic electric elements",
